#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-03-17-15-15-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1773760507.243647	CP2rVs1rqJgWWeDg64	73.162.21.44	46000	162.159.200.1	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.244655	CP2rVs1rqJgWWeDg64	73.162.21.44	46000	162.159.200.1	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.245711	CiEJr2yodI3WqYo2j	73.162.21.44	46001	129.6.15.28	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.246936	CiEJr2yodI3WqYo2j	73.162.21.44	46001	129.6.15.28	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.247655	C1ryHs4WzI9UmGirWb	201.44.88.30	46002	77.88.8.8	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.248273	C1ryHs4WzI9UmGirWb	201.44.88.30	46002	77.88.8.8	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.248883	CtAsvE3GEufPDDbxHf	45.112.92.14	46003	77.88.8.8	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.249505	CtAsvE3GEufPDDbxHf	45.112.92.14	46003	77.88.8.8	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.250141	CKQNOS22DDyU27Vijb	189.18.222.9	46004	129.6.15.28	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.250829	CKQNOS22DDyU27Vijb	189.18.222.9	46004	129.6.15.28	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.251510	Cm63Ch3FcXQ5ykNEh9	201.44.88.30	46005	77.88.8.8	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.252069	Cm63Ch3FcXQ5ykNEh9	201.44.88.30	46005	77.88.8.8	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.252594	CQHsvv47WX5vYFJlCa	201.44.88.30	46006	77.88.8.8	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.253111	CQHsvv47WX5vYFJlCa	201.44.88.30	46006	77.88.8.8	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
1773760507.253641	CDIY5J1g40927bQpj8	73.162.21.44	46007	77.88.8.8	123	3	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	0.000000	0
1773760507.254160	CDIY5J1g40927bQpj8	73.162.21.44	46007	77.88.8.8	123	3	4	17	131072.000000	131072.000000	4369.066666	4369.066666	17.17.17.17	-1922657646.933333	-1922657646.933333	-1922657646.933333	-1922657646.933333	0
#close	2026-03-17-15-15-09
